concept,arm,vintage,n_redteam_rows,n_seeds,dataset,scale,mean,sd,min,max
instructions,gptoss120b,0,0,10,mean,pipeline,0.467173812064806,0.03596209429073403,0.40189743113856186,0.5076507844014816
instructions,gptoss120b,0,0,10,mean,rank,0.4670901743623023,0.03596491791373562,0.4019023307028089,0.5075699696800143
instructions,gptoss120b,0,0,10,mm_substitution,pipeline,0.43925000000000003,0.041924409490308984,0.38375000000000004,0.51475
instructions,gptoss120b,0,0,10,mm_substitution,rank,0.43949000000000005,0.04166115163501311,0.38375,0.5157
instructions,gptoss120b,0,0,10,oig_context_drift,pipeline,0.5240886385375704,0.006416216124579173,0.5164735891168031,0.5399617387607609
instructions,gptoss120b,0,0,10,oig_context_drift,rank,0.5240886385375705,0.0064401337991965325,0.5164735891168031,0.5400680199808694
instructions,gptoss120b,0,0,10,oig_omission,pipeline,0.5179901508156356,0.007835129321131264,0.5061557402277624,0.5301631271160357
instructions,gptoss120b,0,0,10,oig_omission,rank,0.5179901508156355,0.007762245638106289,0.5064635272391506,0.5301631271160357
instructions,gptoss120b,1,228,10,anthropic_harmless_refusal,pipeline,0.5656599999999999,0.05304207344698691,0.46465,0.6507999999999999
instructions,gptoss120b,1,228,10,anthropic_harmless_refusal,rank,0.5656549999999999,0.053042076850993165,0.46465,0.6507999999999999
instructions,gptoss120b,1,228,10,bbq_substitution,pipeline,0.52842,0.008357970248012778,0.5143,0.54335
instructions,gptoss120b,1,228,10,bbq_substitution,rank,0.52843,0.008366905707076612,0.5143,0.5434
instructions,gptoss120b,1,228,10,hc_context_drift,pipeline,0.48576363056647887,0.007009166112395042,0.47613986608566267,0.49378254862365817
instructions,gptoss120b,1,228,10,hc_context_drift,rank,0.48575300244446806,0.007102595901064132,0.47587416303539165,0.4936762674035498
instructions,gptoss120b,1,228,10,hc_contradiction,pipeline,0.48553500000000005,0.006513279170706235,0.473,0.49385
instructions,gptoss120b,1,228,10,hc_contradiction,rank,0.485895,0.006410601029198092,0.47364999999999996,0.4941
instructions,gptoss120b,1,228,10,mean,pipeline,0.5173182533869388,0.009793978095176141,0.500496533030241,0.532334620600882
instructions,gptoss120b,1,228,10,mean,rank,0.5173756420846751,0.009797879258830603,0.5004910772508949,0.5323699937845371
instructions,gptoss120b,1,228,10,mm_substitution,pipeline,0.45424,0.011107700031959815,0.43555000000000005,0.47630000000000006
instructions,gptoss120b,1,228,10,mm_substitution,rank,0.4542300000000001,0.011107610003956736,0.43565000000000004,0.47625
instructions,gptoss120b,1,228,10,oig_context_drift,pipeline,0.5711074503135296,0.009742974957978576,0.5563290466574556,0.5840684451057498
instructions,gptoss120b,1,228,10,oig_context_drift,rank,0.5711340206185567,0.009733236226479385,0.5563821872675098,0.5840684451057498
instructions,gptoss120b,1,228,10,oig_omission,pipeline,0.5305016928285626,0.008059410713085621,0.5187750076946753,0.5426285010772546
instructions,gptoss120b,1,228,10,oig_omission,rank,0.5305324715297014,0.008105447561002205,0.5189289012003693,0.5427823945829486
instructions,gptoss120b,2,214,10,anthropic_harmless_refusal,pipeline,0.276635,0.04135846044039841,0.22365000000000002,0.34455
instructions,gptoss120b,2,214,10,anthropic_harmless_refusal,rank,0.27664,0.04137111713905407,0.22360000000000002,0.3446
instructions,gptoss120b,2,214,10,bbq_substitution,pipeline,0.41709500000000005,0.015317318629577442,0.39305,0.44210000000000005
instructions,gptoss120b,2,214,10,bbq_substitution,rank,0.417065,0.015266467429558743,0.39305,0.44195000000000007
instructions,gptoss120b,2,214,10,hc_context_drift,pipeline,0.45585078116696776,0.015368711955419737,0.4321925815708364,0.47061324264002546
instructions,gptoss120b,2,214,10,hc_context_drift,rank,0.4560261451801467,0.015344795263174376,0.43261770645127007,0.47103836752045913
instructions,gptoss120b,2,214,10,hc_contradiction,pipeline,0.465585,0.010712221732415926,0.44899999999999995,0.47919999999999996
